"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21/10/2025 21:27:27,""rayyan-305067516"",""Classification of vocalizations in the Mongolian gerbil, Meriones unguiculatus"",2012,""Meriones unguiculatus"",""Mongolian gerbil"","""",""Rodentia"",""Muridae"",""lab"",""group"",""No"",""34"",NA,""5712"",""Hand"",""Yes"",""13"",NA,"""",""No"",""No"","""",""yes"","""",""512"",""Hamming"","""","""",NA,NA,"""",""Avisoft-SASLab Pro"",""13"",""No"",""duration"","""","""","""","""","""","""",""F0 start"; F0 end; max F0; min F0; F0 bandwidth; time to max F0; time to min F0; number of harmonics; percentage of strongest harmonic; modulation frequency; modulation depth;" duty cycle (length of syllable relative to length of total phrase)"",""F0, formants"","""",""SPSS"",""PCA, MDS"",""features"","""",""No"","""",""x"",""rayyan-305067516"",""Classification of vocalizations in the Mongolian gerbil, Meriones unguiculatus."",2012,2,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",131,2,""1622-31"",""Kobayasi KI and Riquimaroux H"",""https://pubmed.ncbi.nlm.nih.gov/22352532/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.3672693"",""Acoustics";Animals;Female;Gerbillinae/*physiology;Male;Sound Spectrography;"Vocalization, Animal/*classification/physiology"",""22352532"","""",NA,34,5712,0,13";;;;;;;;;;;
"14/10/2025 04:54:57,""rayyan-305067603"",""Graded calls of the smallest terrestrial mammal, the Etruscan shrew, living in a closed habitat"",2024,""Suncus etruscus"",""Etruscan shrew"","""",""Eulipotyphla"",""Soricidae"",""lab"",""group, solitary"",""Yes"",""not reported"",NA,""1131"",""Automated"",""Yes"","""",NA,""4"",""Yes"",""Yes, preprocessed"","""",""yes"","""","""","""","""",""Yes"",3000,60000,"""",""Praat"",""22"",""No"",""duration"","""","""",""mean F0, max F0, min F0, std F0";" slope F0"","""","""","""",""time to peak"; time to max F0; time to min F0; voiced perc; HNR; entropy; center gravity (PF); std PF; skewness; kurtosis; F1 freq; F1 bandwidth; F2 freq; F2 bandwidth; F3 freq;" F3 bandwidth "",""F0, peak frequency, formants"","""",""R"",""UMAP, Fuzzy c-means clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067603"",""Graded calls of the smallest terrestrial mammal, the Etruscan shrew, living in a closed habitat."",2024,12,20,""iscience"",""2589-0042 (Electronic)"",27,12,""111297"",""Langehennig-Peristenidou A and Felmy F and Scheumann M"",""https://pubmed.ncbi.nlm.nih.gov/39628566/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1016/j.isci.2024.111297"","""",""39628566"",""PMC11612789"",NA,-1,1131,0,NA";;;;;;;;;;;;
"16/10/2025 14:18:59,""rayyan-305067862"",""Social calls of flying big brown bats (Eptesicus fuscus)"",2013,""Eptesicus fuscus"",""big brown bat"","""",""Chiroptera"",""Vespertilionidae"",""lab"",""group"",""Yes"",""36"",NA,""764"",""Hand"",""No"",""7"",NA,"""",""No"",""No"","""","""","""","""","""","""","""",NA,NA,""nothing reported"",""not specified"",""4"",""Some"",""duration"","""","""","""","""","""","""",""start freq"; middle freq;" end freq"","""","""",""not specified"",""DFA"",""features"","""",""Yes"",""CC BY 3.0"",""x"",""rayyan-305067862"",""Social calls of flying big brown bats (Eptesicus fuscus)."",2013,NA,NA,""frontiers in physiology"",""1664-042X (Print)"",4,NA,""214"",""Wright GS and Chiu C and Xian W and Wilkinson GS and Moss CF"",""https://pubmed.ncbi.nlm.nih.gov/23966949/"",""eng"",NA,""Switzerland"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.3389/fphys.2013.00214"","""",""23966949"",""PMC3744909"",NA,36,764,0,7";;;;;;;;;;;;;;;;;;;;;;;;;;
"17/08/2025 20:06:47,""rayyan-308549144"",""Vocal repertoire of the critically endangered white-headed langur ( Trachypithecus leucocephalus): Call types, acoustic structures, and related social-ecological contexts."",2022,""Trachypithecus leucocephalus"",""white-headed langur"","""",""Primates"",""Cercopithecidae"",""lab"",""group"",""Yes"",""unclear"",28697,""409"",""Hand"",""Yes"",""17"",6,"""",""No"",""No"",""likely ~68 animal recorded"",""yes"","""",""1024"",""Hamming"",""87.5"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""25"",""Some"",""duration"","""",""entire call, start, center, end"","""",""peak frequency, min frequency, max frequency, bandwidth, entropy, HNR"","""","""","""","""","""",""R"",""DFA, PCA"",""features"","""",""Yes"",""CC BY-NC 4.0"",""x"",""rayyan-308549144"",""Vocal repertoire of the critically endangered white-headed langur ( Trachypithecus leucocephalus): Call types, acoustic structures, and related social-ecological contexts."",2022,9,18,""zoological research"",""2095-8137 (Print)"",43,5,""875-879"",""Fan PL and Li JX and Yang LT and Sun T and Wu SJ and Grueter CC and Huang CM and Zhou QH and Li M"",""https://pubmed.ncbi.nlm.nih.gov/36031770/"",""eng"",NA,""China"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.24272/j.issn.2095-8137.2022.147"",""Acoustics";Animals;*Colobinae;"Endangered Species"",""36031770"",""PMC9486528"",NA,-1,409,6,17";;;;;;;;;;;;;;;;;;;;;;;;;
"10/12/2025 04:32:07,""rayyan-380414577"",""The vocal repertoire of the northern giant mouse lemur (Mirza zaza) in captivity"",2020,""Mirza zaza"",""giant mouse lemur"","""",""Primates"",""Cheirogaleidae"",""lab"",""group, solitary"",""Yes"",""39"",NA,""1129"",""Hand"",""Yes"",""10"",NA,"""",""Yes"",""No"","""","""","""","""","""","""","""",NA,NA,""not reported"",""Kay Sona-Graph"",""8"","""",""duration"","""","""","""","""","""","""",""F0 start"; F0 peak; F0 min; F0 end; F max; peak freq;" call interval"",""F0"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414577"",""The vocal repertoire of the northern giant mouse lemur (Mirza zaza) in captivity"",2020,NA,NA,""international journal of primatology"",""0164-0291"",41,5,""732-763"",""Hending, Daniel and Seiler, Melanie and Stanger-Hall, Kathrin F"","""","""",NA,"""","""","""","""","""","""",NA,39,1129,0,10";;;;;;;;;;;;;;;;;;;;;;
"07/12/2025 23:10:17,""rayyan-380414608"",""Vocal Repertoire of Captive Capybara (Hydrochoerus hydrochaeris): Structure, Context and Function"",2011,""Hydrochoerus hydrochaeris"",""Capybara"","""",""Rodentia"",""Caviidae"",""lab"",""group"",""Yes"",""28"",2069,""632"",""Hand"",""Yes"",""8"",2,"""",""No"",""No"","""",""yes"","""",""512"",""Hamming"",""93.75"","""",NA,NA,"""",""Avisoft-SASLab Pro"",""6"",""Some"","""",""unit duration"",""per note"","""",""min frequency, max frequency, bandwidth"","""","""",""dominant frequency, number of harmonics"",""dominant frequency"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414608"",""Vocal Repertoire of Captive Capybara (Hydrochoerus hydrochaeris): Structure, Context and Function"",2011,1,1,""ethology"",""0179-1613"",117,1,""83-94"",""Barros, Kamila S. and Tokumaru, Rosana S. and Pedroza, Janine P. and Nogueira, Selene S. C."",""https://doi.org/10.1111/j.1439-0310.2010.01853.x"","""",NA,"""","""","""",""10.1111/j.1439-0310.2010.01853.x"","""","""",NA,28,632,2,8";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"20/12/2025 22:03:36,""rayyan-380414610"",""The Vocal Repertoire of Pale Spear-Nosed Bats in a Social Roosting Context"",2019,""Phyllostomus discolor"",""pale spear-nosed bat"","""",""Chiroptera"",""Phyllostomidae"",""lab"",""group"",""No"",""6"",56840,""18658"",""Hand"",""Yes"",""13"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""MATLAB"",""19"",""No"",""duration"","""","""","""","""","""","""",""max amplitude"; spectral centroid frequency; PF; min freq; max freq; bandwidth; mean F0; min F0; max F0; start F0; coefficients of the best-fitting linear (degree 1) polynomial F0; quadratic (degree 2) polynomial to the raw contour of the F0;" RMSE between fitted polynomials and F0"",""F0, peak frequency, amplitude"","""",""MATLAB"",""LDA"",""features"","""",""No"","""",""x"",""rayyan-380414610"",""The Vocal Repertoire of Pale Spear-Nosed Bats in a Social Roosting Context"",2019,NA,NA,""frontiers in ecology and evolution"",""2296-701X"",NA,NA,"""",""Lattenkamp, Ella Z. and Shields, Stephanie M. and Schutte, Michael and Richter, Jassica and Linnenschmidt, Meike and Vernes, Sonja C. and Wiegrebe, Lutz"",""https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2019.00116"","""",NA,"""","""","""","""","""","""",NA,6,18658,0,13";;;;;;;;;;;;;;;;
"05/01/2026 12:03:55,""rayyan-380414612"",""The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi)"",2010,""Glossophaga soricina"",""Pallas's long-tongued bat"","""",""Chiroptera"",""Phyllostomidae"",""lab"",""group"","""","""",NA,""151"",""Hand"",""Yes"",""15"",NA,"""",""No"",""No"","""",""no"","""",""1024"",""Hamming"",""87.5"","""",NA,NA,"""",""Avisoft-SASLab Pro"",""30"",""No"",""duration"","""",""five different regions even- ly distributed over the call"","""",""peak frequency, min frequency, max frequency, bandwidth"","""","""",""distance to maximum amplitude"","""","""",""SPSS"",""DFA, k-medians clustering"",""features"","""",""No"","""",""x"",""rayyan-380414612"",""The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi)"",2010,6,1,""acta chiropterologica"","""",12,1,""205-215"",""Mirjam Knörnschild and Volker Glöckner and Otto Von Helversen"",""https://doi.org/10.3161/150811010X504707"","""",NA,"""","""","""",""10.3161/150811010X504707"","""","""",NA,NA,151,0,15";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"05/12/2025 16:33:54,""rayyan-380414615"",""Vocal repertoire of adult captive red pandas (Ailurus fulgens)"",2016,""Ailurus fulgens"",""red panda"","""",""Carnivora"",""Ailuridae"",""lab"",""group"",""No"",""3"",197,""114"",""Hand"",""Yes"",""7"",NA,"""",""No"",""No"","""",""yes"","""",""1102.5"",""Gaussiam"","""","""",NA,NA,"""",""Praat"",""6"",""No"",""duration"","""","""",""mean F0, max F0, min F0, range F0, F0 std"","""","""","""","""","""","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414615"",""Vocal repertoire of adult captive red pandas (Ailurus fulgens)"",2016,1,1,""animal biology"","""",66,2,""145-155"",""Cao, Dandan and Zhou, Hong and Wei, Wei and Lei, Miaowen and Yuan, Shibin and Qi, Dunwu and Zhang, Zejun"",""https://brill.com/view/journals/ab/66/2/article-p145_3.xml"",""English"",NA,"""","""","""",""10.1163/15707563-00002493"","""","""",NA,3,114,0,7";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02/01/2026 11:28:34,""rayyan-380414623"",""The Structure and Usage of Female and Male Mouse Ultrasonic Vocalizations Reveal only Minor Differences"",2012,""Mus musculus"",""mouse"","""",""Rodentia"",""Muridae"",""lab"",""group, solitary"",""No"",""40"",NA,""5278"",""Automated"",""No"",""3"",NA,"""",""No"",""No"",""CC BY 4.0"",""no"","""",""512"","""","""","""",NA,NA,"""",""LMA"",""8"",""No"",""duration"","""","""","""","""","""","""",""PF start"; PF max; time to PF max; max PF jump; time to max PF jump;" slope"",""peak frequency"","""",""SPSS"",""DFA, two-step clustering"",""features"","""",""Yes"","""",""x"",""rayyan-380414623"",""The Structure and Usage of Female and Male Mouse Ultrasonic Vocalizations Reveal only Minor Differences"",2012,7,17,""plos one"","""",7,7,""e41133"",""Hammerschmidt, Kurt and Radyushkin, Konstantin and Ehrenreich, Hannelore and Fischer, Julia"",""https://doi.org/10.1371/journal.pone.0041133"","""",NA,"""","""","""",""10.1371/journal.pone.0041133"","""","""",NA,40,5278,0,3";;;;;;;;;;;;;;;;;;;;;;;
"18/11/2025 22:26:44,""rayyan-380414634"",""A Role for Ultrasonic Vocalisation in Social Communication and Divergence of Natural Populations of the House Mouse (Mus musculus domesticus)"",2014,""Mus musculus domesticus"",""house mouse"",""wild-derived"",""Rodentia"",""Muridae"",""lab"",""group"",""No"",""37"",NA,"""",""Hand"",""No"",""13"",NA,"""",""No"",""No"",""contact with other mice through a window";;;;;;;;;;;;;;;;;;;;;;;;;;;;
","","","",Hanning/Hann"",""85"","""",NA,NA,"""",""MATLAB"","""","""","""","""","""","""","""","""","""",""centre of gravity freq"","""",""very unclear how many and what features"",""MATLAB"",""cluster analysis"","""","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-380414634"",""A Role for Ultrasonic Vocalisation in Social Communication and Divergence of Natural Populations of the House Mouse (Mus musculus domesticus)"",2014,5,9,""plos one"","""",9,5,""e97244"",""von Merten, Sophie and Hoier, Svenja and Pfeifle, Christine and Tautz, Diethard"",""https://doi.org/10.1371/journal.pone.0097244"","""",NA,"""","""","""",""10.1371/journal.pone.0097244"","""","""",NA,37,NA,0,13";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06/01/2026 11:45:34,""rayyan-380414648"",""Analysis of acoustic elements and syntax in communication sounds emitted by mustached bats"",1994,""Pteronotus parnellii parnellii"",""mustached bat"","""",""Chiroptera"",""Mormoopidae"",""lab"",""group"",""No"",""65"",NA,""445"",""Hand"",""Yes"",""33"",NA,"""",""Yes"",""No"",""33 syllables that are combined"",""no"","""","""","""","""","""",NA,NA,"""",""RTS";" SIGNAL"","""",""Some"",""duration"","""","""","""","""","""","""",""base freq"; center freq of predominant band; peak frequency in overall band; % scatter of center freq; max bandwidth; F0; max F0; peak freq; % freq modulation in harmonics; max FM depth for F0; FM sweep rate F0;" delaty between FM sweeps"",""F0, peak frequency"",""different features for noisy vs tonal calls"",""not specified"",""DFA, MDS"",""features"","""",""No"","""",""x"",""rayyan-380414648"",""Analysis of acoustic elements and syntax in communication sounds emitted by mustached bats"",1994,9,1,""the journal of the acoustical society of america"",""0001-4966"",96,3,""1229-1254"",""Kanwal, Jagmeet S. and Matsumura, Sumiko and Ohlemiller, Kevin and Suga, Nobuo"",""https://doi.org/10.1121/1.410273"","""",NA,"""","""","""",""10.1121/1.410273"","""","""",NA,65,445,0,33";;;;;;;;;;;;;;;;
"21/12/2025 11:18:18,""rayyan-380414649"",""Classification of communication signals of the little brown bat"",2006,""Myotis lucifugus"",""little brown bat"","""",""Chiroptera"",""Vespertilionidae"",""lab"",""group, solitary"",""No"","""",NA,""3925"",""Hand, Automated"",""Yes"",""5"",NA,"""",""No"",""No"","""",""no"","""",""1024"",""Hamming"","""","""",NA,NA,"""",""MATLAB";" Batsound Pro"",""5"","""",""duration"","""","""","""","""","""","""",""maximum frequency, maximum time, minimum frequency, minimum time, center";;;;;;;;;;;;;;;;;;;;;;;;;;;
"frequency, center time, duration, kurtosis (freq), kurtosis (time), skew (freq), skew (time), spread (freq), spread (time), standard deviation (freq), and standard deviation (time)"","""","""",""MATLAB"",""PCA, Classification and regression tree analysis (CART)"",""features"","""",""No"","""",""x"",""rayyan-380414649"",""Classification of communication signals of the little brown bat"",2006,8,1,""the journal of the acoustical society of america"",""0001-4966"",120,2,""1095-1102"",""Melendez, Karla V. and Jones, Douglas L. and Feng, Albert S."",""https://doi.org/10.1121/1.2211488"","""",NA,"""","""","""",""10.1121/1.2211488"","""","""",NA,NA,3925,0,5";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"05/12/2025 22:55:41,""rayyan-380414679"",""Mouse vocal emission and acoustic complexity do not scale linearly with the size of a social group"",2021,""Mus musculus"",""mouse"",""B6"",""Rodentia"",""Muridae"",""lab"",""group, solitary"",""No"",""98"",46649,""31674"",""Automated"",""Yes"","""",NA,""26"",""No"",""No"","""",""yes"","""",""64";128;" 256"","""","""","""",NA,NA,"""",""not specified"","""","""","""","""","""","""","""","""","""",""frequency jump";" inflection"","""","""",""not specified"",""K-means clustering"",""spectrogram"",""repeated K-means clustering with elbow method"",""Yes"","""",""x"",""rayyan-380414679"",""Mouse vocal emission and acoustic complexity do not scale linearly with the size of a social group"",2021,6,7,""journal of experimental biology"",""0022-0949"",224,11,""jeb239814"",""Warren, Megan R. and Spurrier, Morgan S. and Sangiamo, Daniel T. and Clein, Rachel S. and Neunuebel, Joshua P."",""https://doi.org/10.1242/jeb.239814"","""",NA,"""","""","""",""10.1242/jeb.239814"","""","""",NA,98,31674,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;
"12/01/2026 21:10:58,""rayyan-380414692"",""Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication"",2020,""Macaca fuscata"",""Japanese macaque"","""",""Primates"",""Cercopithecidae"",""lab"",""group"","""",""24"",1368,""434"",""Automated"",""Yes"","""",NA,"""",""Yes"",""Yes, preprocessed"","""",""yes"","""",""256"",""Hanning/Hann"","""","""",NA,NA,"""",""Raven Pro"",""7"",""No"",""duration"","""","""","""","""",""aggregate entropy, average entropy, center frequency, 1st quartile frequency, 3rd quartile frequency, center time"","""","""","""","""",""R"",""Gaussian mixture models"",""features"","""",""Yes"",""CC-BY"",""x"",""rayyan-380414692"",""Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication"",2020,6,10,""proceedings of the royal society b"","""",287,1928,""20200439"",""Rebout, Nancy and De Marco, Arianna and Lone, Jean-Christophe and Sanna, Andrea and Cozzolino, Roberto and Micheletta, Jérôme and Sterck, Elisabeth H. M. and Langermans, Jan A. M. and Lemasson, Alban and Thierry, Bernard"",""https://doi.org/10.1098/rspb.2020.0439"","""",NA,"""","""",""<p>doi: 10.1098/rspb.2020.0439</p>"",""10.1098/rspb.2020.0439"","""","""",NA,24,434,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"16/12/2025 13:21:09,""rayyan-380414713"",""Single‐note vocalizations of California ground squirrels: Graded signals and situation‐specificity of predator and socially evoked calls"",1980,""Otospermophilus beecheyi"",""California ground squirrel"","""",""Rodentia"",""Sciuridae"",""lab"",""group"",""Unknown"","""",NA,""112"",""Automated"",""No"",""3"",NA,"""",""Yes"",""No"",""only alarm call"",""yes"","""","""","""","""",""Yes"",NA,NA,"""",""Kay Sona-Graph"",""6"",""No"",""duration"","""","""","""","""","""","""",""duration second harmonic"; ratio duration seconic harmonic/duration first harmonic; F0; F0 bandwidth;" F2 frequency modulation"",""F0, formants"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414713"",""Single‐note vocalizations of California ground squirrels: Graded signals and situation‐specificity of predator and socially evoked calls"",1980,NA,NA,""zeitschrift für tierpsychologie"",""0044-3573"",52,3,""227-246"",""Leger, Daniel W and Owings, Donald H and Gelfand, Deborah L"","""","""",NA,"""","""","""","""","""","""",NA,NA,112,0,3";;;;;;;;;;;;;;;;;;;;;;;;
"03/01/2026 12:51:23,""rayyan-380414725"",""Ultrasonic Songs of Male Mice"",2005,""Mus musculus"",""mouse"",""B6D2F1"",""Rodentia"",""Muridae"",""lab"",""solitary"",""No"","""",NA,""750"",""Hand"",""No"",""8"",NA,"""",""Yes"",""No"","""",""no"","""",""512"","""",""50"",""Yes"",25000,110000,"""",""MATLAB"",""3"",""No"","""","""","""","""","""","""","""",""mean frequency"; the “spectral purity” (fraction of total power concentrated into a single frequency bin);" “spectral discontinuity,”"","""","""",""not specified"",""Multidimensional Scaling"",""features"","""",""Yes"",""CC-BY-4.0"",""x"",""rayyan-380414725"",""Ultrasonic Songs of Male Mice"",2005,11,1,""plos biology"","""",3,12,""e386"",""Holy, Timothy E and Guo, Zhongsheng"",""https://doi.org/10.1371/journal.pbio.0030386"","""",NA,"""","""","""",""10.1371/journal.pbio.0030386"","""","""",NA,NA,750,0,8";;;;;;;;;;;;;;;;;;;;;;;;;;
"12/01/2026 20:49:52,""rayyan-380414727"",""MUPET—Mouse Ultrasonic Profile ExTraction: A Signal Processing Tool for Rapid and Unsupervised Analysis of Ultrasonic Vocalizations"",2017,""Mus musculus"",""mouse"",""BXD GRP—the C57BL/6 (C57) and DBA/2 (DBA) parental strains, the F1 cross (B6D2F1), and nine RI offspring strains"",""Rodentia"",""Muridae"",""lab"",""group"",""Yes"","""",NA,"""",""Automated"",""Yes"","""",NA,"""",""No"",""No"",""Only subset of data available"",""no"","""",""512"",""Hamming"",""75"","""",NA,NA,"" short-term Fourier transform (STFT) algorithm with an analysis window of 2 ms that was shifted every 1.6 ms and then normalized to unit energy to prevent the decomposition process from being dominated by high-energy syllables."",""MUPET"","""","""","""","""","""","""","""","""","""","""","""",""GF-USV feature representation"",""MUPET"",""K-means clustering"",""spectrogram"",""Based on GF-USV representation of spectrogram"",""Yes"",""Elsevier user license"",""x"",""rayyan-380414727"",""MUPET—Mouse Ultrasonic Profile ExTraction: A Signal Processing Tool for Rapid and Unsupervised Analysis of Ultrasonic Vocalizations"",2017,5,3,""neuron"",""0896-6273"",94,3,""465-485.e5"",""Van Segbroeck, Maarten and Knoll, Allison T. and Levitt, Pat and Narayanan, Shrikanth"",""https://doi.org/10.1016/j.neuron.2017.04.005"","""",NA,"""","""",""<p>doi: 10.1016/j.neuron.2017.04.005</p>"",""10.1016/j.neuron.2017.04.005"","""","""",NA,NA,NA,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06/01/2026 11:21:31,""rayyan-380414783"",""Stereotypic vocalizations in harvest mice (Reithrodontomys): harmonic structure contains prominent and distinctive audible, ultrasonic, and non-linear elements"",2010,""Reithrodontomys mexicanus"",""harvest mice"","""",""Rodentia"",""Cricetidae"",""lab"",""group"",""No"",""25"",NA,""266"",""Hand"",""No"",""5"",NA,"""",""No"",""No"","""",""yes"","""",""512";" 1024"",""Hamming";" Blackmann"",""70"","""",NA,NA,"""",""Raven Pro"",""6"",""Some"",""duration"",""number of units"","""","""","""","""","""",""min freq"; max freq; peak freq;" freq bandwidth"",""peak frequency"","""",""not specified"",""PCA"",""features"","""",""No"","""",""x"",""rayyan-380414783"",""Stereotypic vocalizations in harvest mice (Reithrodontomys): harmonic structure contains prominent and distinctive audible, ultrasonic, and non-linear elements"",2010,NA,NA,""the journal of the acoustical society of america"",""0001-4966"",128,3,""1501-1510"",""Miller, Jacqueline R and Engstrom, Mark D"","""","""",NA,"""","""","""","""","""","""",NA,25,266,0,5";;;;;;;;;;;;;;;;;;;;;;;
"10/01/2026 20:20:10,""rayyan-380414805"",""Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii"",1987,""Urocitellus elegans"",""Wyoming ground squirrel"","""",""Rodentia"",""Sciuridae"",""lab"",""solitary"",""No"","""",NA,"""",""Hand"",""No"",""5"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""Kay Sona-Graph"",""9"",""Some"",""duration"",""unit duration, inter unit interval, number of units"","""","""","""","""","""",""freq start"; freq end; number of harmonics; F1 start;" F1 end"","""","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414805"",""Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii"",1987,NA,NA,""journal of mammalogy"",""0022-2372"",68,4,""853-857"",""Fagerstone, Kathleen A"","""","""",NA,"""","""","""","""","""","""",NA,NA,NA,0,5";;;;;;;;;;;;;;;;;;;;;;;;
"17/08/2025 21:27:49,""rayyan-305067161"",""Airborne vocal communication in adult neotropical otters (Lontra longicaudis)."",2021,""Lontra longicaudis"",""neotropical otter"","""",""Carnivora"",""Mustelidae"",""zoo"",""group"",""No"",""6"",NA,""422"",""Hand"",""Yes"",""6"",NA,"""",""No"",""Yes, preprocessed"","""",""yes"","""","""","""","""",""Yes"",NA,NA,""Variable per call type"",""Praat"",""12"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, range F0, peak frequency, start f0, end f0, std f0, midpoint f0, f0 slope start to mid, f0 slope mid to end"","""","""","""","""","""",""proportion chaos, proportion subharmonics, proportion biphonation for subset of calls - visually identified"",""R"",""PCA"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067161"",""Airborne vocal communication in adult neotropical otters (Lontra longicaudis)."",2021,NA,NA,""plos one"",""1932-6203 (Electronic)"",16,5,""e0251974"",""Bettoni S and Stoeger A and Rodriguez C and Fitch WT"",""https://pubmed.ncbi.nlm.nih.gov/34038461/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0251974"",""Acoustics";Animals;Brazil;Female;Male;Otters/*physiology;*Social Behavior;"Vocalization, Animal/*physiology"",""34038461"",""PMC8153427"",NA,6,422,0,6";;;;;;;;;;;;;;;;;;;;;
"10/10/2025 17:51:42,""rayyan-305067259"",""The acoustic repertoire and behavioural context of the vocalisations of a nocturnal dasyurid, the eastern quoll (Dasyurus viverrinus)."",2017,""Dasyurus viverrinus"",""eastern quoll"","""",""Dasyuromorphia"",""Dasyuridae"",""zoo"",""group"",""No"",""15"",NA,""5242"",""Hand"",""Yes"",""5"",NA,"""",""No"",""Yes, preprocessed"","""",""yes"","""",""2400"",""Gaussian"","""",""Highpass"",75,NA,"""",""Praat"",""10"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, range F0, Q50, F0 std"; jitter; shimmer;" NHR"","""","""","""","""","""","""",""R"",""Hierarchical clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067259"",""The acoustic repertoire and behavioural context of the vocalisations of a nocturnal dasyurid, the eastern quoll (Dasyurus viverrinus)."",2017,NA,NA,""plos one"",""1932-6203 (Electronic)"",12,7,""e0179337"",""Dorph A and McDonald PG"",""https://pubmed.ncbi.nlm.nih.gov/28686679/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0179337"",""*Acoustics";Animals;Australasia;Cluster Analysis;Marsupialia/*physiology;Signal Processing, Computer-Assisted;"Vocalization, Animal/*physiology"",""28686679"",""PMC5501449"",NA,15,5242,0,5";;;;;;;;;;;;;;;;;;;
